accident_number,date,time,year,street1,street2,road_class,district,latitude,longitude,x,y,accident_location,traffctl,visibility,light,road_surface_condition,hood_158,neighbourhood_new,hood_140,neighbourhood_old,accident_class,pedestrian,cyclist,automobile,motorcycle,truck,trsn_city_veh,emerg_veh,passenger,speeding,aggressive_driving,redlight,alcohol,disability,impact_type,involvement_type,initial_direction,vehicle_type,manoeuver,driver_action,driver_condition,pedestrian_action,pedestrian_condition,cyclist_type,cyclist_action,cyclist_condition,injury,involvement_age,injury_severity_score
1000692826.0,2021-04-15 08:00:00,1530,2021,FINCH AVE W,SENTINEL RD,Major Arterial,North York,43.760363,-79.502773,620521.8297,4846345.7609,Non Intersection,No Control,Clear,Daylight,Dry,27,York University Heights,27,York University Heights (27),Fatal,1,0,0,0,1,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Truck Driver']",South,['Truck - Dump'],['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['45 to 49', '55 to 59']",4.0
1000693871.0,2021-04-15 08:00:00,1800,2021,DUNDAS ST W,BATHURST ST,Major Arterial,Toronto and East York,43.652239,-79.405978,628544.4806,4834482.4839,At Intersection,Traffic Signal,Clear,Daylight,Dry,78,Kensington-Chinatown,78,Kensington-Chinatown (78),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",North,"['Automobile, Station Wagon', 'Bicycle']","['Turning Right', 'Going Ahead']",['Improper Turn'],['Unknown'],['Not Applicable'],['Not Applicable'],['Motorist turning right on red at signalized intersection strikes cyclist.'],['Driving Properly'],['Normal'],False,"['unknown', '60 to 64']",3.0
1000734326.0,2021-04-21 08:00:00,2305,2021,DUNDAS ST W,AUGUSTA AVE,Major Arterial,Toronto and East York,43.652201,-79.401103,628937.6937,4834485.8268,Intersection Related,No Control,Clear,"Dark, artificial",Dry,78,Kensington-Chinatown,78,Kensington-Chinatown (78),Fatal,0,0,1,0,0,1,0,1,1,1,0,0,0,SMV Unattended Vehicle,"['Driver', 'Passenger']",East,"['Automobile, Station Wagon', 'Street Car']",['Going Ahead'],"['Exceeding Speed Limit', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['30 to 34', '35 to 39']",4.0
1000747804.0,2021-04-23 08:00:00,2113,2021,LEITCH AVE,MURRAY ROSS PKWY,Collector,North York,43.765841,-79.496097,621048.1815,4846963.9109,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,27,York University Heights,27,York University Heights (27),Non-Fatal Injury,0,0,1,1,0,0,0,1,1,1,0,0,0,Turning Movement,"['Driver', 'Motorcycle Driver', 'Passenger']",South,"['Automobile, Station Wagon', 'Motorcycle']","['Turning Left', 'Going Ahead']","['Failed to Yield Right of Way', 'Exceeding Speed Limit']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '30 to 34']",3.0
1000750988.0,2021-04-24 08:00:00,1110,2021,EGLINTON  AVE W,LLOYD MANOR  RD,Major Arterial,Etobicoke York,43.675551,-79.557628,616270.0684,4836847.8458,Non Intersection,No Control,Clear,Daylight,Dry,10,Princess-Rosethorn,10,Princess-Rosethorn (10),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,0,0,0,Rear End,['Driver'],West,"['Automobile, Station Wagon']","['Going Ahead', 'Slowing or Stopping']","['Following too Close', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['25 to 29', '65 to 69']",3.0
1000762323.0,2021-04-26 08:00:00,715,2021,ARKONA DR,ARKONA  DR,Collector,Scarborough,43.773184,-79.304469,636455.6466,4848077.4268,At Intersection,Stop Sign,Clear,Daylight,Dry,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Turning Left'],['Disobeyed Traffic Control'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '55 to 59']",3.0
1000772458.0,2021-04-27 08:00:00,1510,2021,MAIN ST,DANFORTH AVE,Major Arterial,Toronto and East York,43.688071,-79.301791,636864.9113,4838628.7889,At Intersection,Traffic Signal,Clear,Daylight,Dry,62,East End-Danforth,62,East End-Danforth (62),Fatal,1,0,0,0,1,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Wheelchair']",North,['Truck - Dump'],['Turning Right'],['Improper Turn'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['50 to 54', '80 to 84']",4.0
1000799379.0,2021-05-01 08:00:00,1229,2021,KANE AVE,ROGERS  RD,Minor Arterial,Etobicoke York,43.681983,-79.466502,623602.6194,4837693.9724,At Intersection,Stop Sign,Clear,Daylight,Dry,110,Keelesdale-Eglinton West,110,Keelesdale-Eglinton West (110),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,0,0,0,Angle,"['Driver', 'Passenger']",East,"['Automobile, Station Wagon']",['Going Ahead'],"['Failed to Yield Right of Way', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['30 to 34', '55 to 59', '35 to 39']",3.0
1000799560.0,2021-05-01 08:00:00,1303,2021,LAWRENCE  AVE E,GREENBRAE  CRCT,Major Arterial,Scarborough,43.758113,-79.233043,642239.7666,4846523.7562,Intersection Related,Traffic Signal,Clear,Daylight,Dry,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),Non-Fatal Injury,0,0,1,1,0,0,0,1,0,0,0,0,0,Rear End,"['Motorcycle Driver', 'Driver', 'Passenger']",East,"['Motorcycle', 'Automobile, Station Wagon']",['Slowing or Stopping'],"['Lost control', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['60 to 64', '45 to 49']",3.0
1000802607.0,2021-05-01 08:00:00,2217,2021,KINGSTON  RD,MORNINGSIDE  AVE,Major Arterial,Scarborough,43.770541,-79.186832,645929.5678,4847984.488,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,136,West Hill,136,West Hill (136),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,0,0,0,Turning Movement,['Driver'],East,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead']","['Failed to Yield Right of Way', 'Driving Properly']","['Had Been Drinking', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '50 to 54']",3.0
1000814402.0,2021-05-03 08:00:00,1824,2021,SPADINA  AVE,NASSAU  ST,Major Arterial,Toronto and East York,43.655276,-79.398967,629103.3567,4834830.6671,Non Intersection,No Control,Clear,Daylight,Dry,78,Kensington-Chinatown,78,Kensington-Chinatown (78),Non-Fatal Injury,1,0,0,0,0,1,0,1,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian', 'Passenger']",North,['Street Car'],['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '45 to 49', '50 to 54']",3.0
1000863120.0,2021-05-10 08:00:00,1752,2021,WESTON  RD,STEELES AVE W,Major Arterial,Etobicoke York,43.770209,-79.546481,616984.2612,4847376.6291,At Intersection,Traffic Signal,Clear,Daylight,Dry,21,Humber Summit,21,Humber Summit (21),Non-Fatal Injury,0,0,1,0,0,0,0,0,1,1,1,0,0,Rear End,['Driver'],North,"['Automobile, Station Wagon']","['Going Ahead', 'Stopped']","['Disobeyed Traffic Control', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['55 to 59', '30 to 34', '25 to 29']",3.0
1000871.0,2007-11-06 10:00:00,710,2007,WARDEN AVE,MANHATTAN DR,Major Arterial,Scarborough,43.752045,-79.29749,637065.5877,4845741.1423,At Intersection,Traffic Signal,Clear,Daylight,Dry,119,Wexford/Maryvale,119,Wexford/Maryvale (119),Fatal,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon', 'Other']",['Turning Left'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['35 to 39', '45 to 49']",4.0
1000874624.0,2021-05-12 08:00:00,1040,2021,LAWRENCE AVE E,STARSPRAY BLVD,Local,Scarborough,43.788428,-79.122974,651024.0878,4850085.662,Intersection Related,No Control,Clear,Daylight,Dry,143,West Rouge,131,Rouge (131),Non-Fatal Injury,1,0,0,0,0,1,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,['Municipal Transit Bus (TTC)'],['Going Ahead'],['Driving Properly'],['Normal'],['Other'],['Medical or Physical Disability'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['60 to 64', '70 to 74']",3.0
1000874987.0,2021-05-12 08:00:00,1134,2021,1190 WESTON  RD,Not Applicable,Minor Arterial,Etobicoke York,43.687628,-79.491267,621595.0945,4838284.3165,Non Intersection,No Control,Clear,Daylight,Dry,115,Mount Dennis,115,Mount Dennis (115),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Other'],['Lost control'],['Inattentive'],['On Sidewalk or Shoulder'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['25 to 29', '80 to 84']",3.0
1000876012.0,2021-05-12 08:00:00,1409,2021,DON VALLEY PARKWAY  N,EGLINTON AVE E,Expressway,North York,43.722068,-79.329791,634532.1898,4842358.8072,Non Intersection,No Control,Clear,Daylight,Dry,44,Flemingdon Park,44,Flemingdon Park (44),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,0,0,0,Rear End,"['Driver', 'Passenger']",North,"['Automobile, Station Wagon', 'Pick Up Truck']","['Stopped', 'Slowing or Stopping']","['Following too Close', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '55 to 59']",3.0
1000878925.0,2021-05-12 08:00:00,2058,2021,QUEEN ST E,MACLEAN AVE,Minor Arterial,Toronto and East York,43.671855,-79.290973,637773.8963,4836845.6887,Intersection Related,No Control,Clear,"Dark, artificial",Dry,63,The Beaches,63,The Beaches (63),Non-Fatal Injury,0,0,1,0,0,1,0,1,1,1,0,1,0,Sideswipe,"['Driver', 'Passenger']",East,"['Automobile, Station Wagon', 'Street Car']","['Changing Lanes', 'Going Ahead']","['Other', 'Driving Properly']","['Ability Impaired, Alcohol', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['40 to 44', '30 to 34']",3.0
1000885495.0,2021-05-13 08:00:00,1902,2021,ATTWELL DR,BELFIELD  RD,Minor Arterial,Etobicoke York,43.697772,-79.593143,613365.3079,4839266.6147,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,West Humber-Clairville,1,West Humber-Clairville (1),Non-Fatal Injury,0,0,1,1,0,0,0,0,0,1,0,0,0,Turning Movement,"['Driver', 'Motorcycle Driver']",North,"['Automobile, Station Wagon', 'Motorcycle']","['Turning Left', 'Going Ahead']","['Failed to Yield Right of Way', 'Driving Properly']",['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '60 to 64']",3.0
1000885795.0,2021-05-13 08:00:00,1949,2021,SIXTH ST,BIRMINGHAM  ST,Collector,Etobicoke York,43.603434,-79.505153,620644.3744,4828913.2362,At Intersection,No Control,Clear,Daylight,Dry,18,New Toronto,18,New Toronto (18),Non-Fatal Injury,0,0,0,1,0,0,0,1,0,0,0,0,0,Angle,"['Motorcycle Driver', 'Motorcycle Passenger']",East,['Motorcycle'],['Going Ahead'],['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '30 to 34']",3.0
1000887036.0,2021-05-13 08:00:00,2353,2021,GRAVENHURST AVE,CHALKFARM DR,Collector,Etobicoke York,43.727954,-79.513789,619699.6442,4842730.3003,Intersection Related,Stop Sign,Clear,"Dark, artificial",Dry,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),Non-Fatal Injury,0,0,0,1,0,0,0,0,0,1,0,0,0,SMV Other,['Motorcycle Driver'],East,['Motorcycle'],['Going Ahead'],['Lost control'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['40 to 44'],3.0
1000894.0,2007-11-06 10:00:00,2115,2007,FLAVIAN CRES,RAMEAU DR,Local,North York,43.793945,-79.35789,632110.563,4850296.6035,At Intersection,No Control,Rain,Dark,Wet,48,Hillcrest Village,48,Hillcrest Village (48),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Vehicle Owner', 'Pedestrian']",East,"['Automobile, Station Wagon', 'Other']",['Turning Left'],['Failed to Yield Right of Way'],['Unknown'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['55 to 59', 'unknown', '30 to 34']",3.0
1000906854.0,2021-05-16 08:00:00,2000,2021,F G GARDINER C  E,GARDINER E PARK LAWN RAMP RD,Expressway,Etobicoke York,43.621478,-79.505779,620557.7938,4830916.3318,Non Intersection,No Control,Clear,Daylight,Dry,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,SMV Other,"['Driver', 'Passenger']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['70 to 74'],3.0
1000909606.0,2021-05-17 08:00:00,849,2021,YONGE ST,401 C E YONGE N RAMP ST,Major Arterial,North York,43.749819,-79.408077,628167.1192,4845316.8555,Non Intersection,No Control,Clear,Daylight,Dry,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,1,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",South,"['Automobile, Station Wagon', 'Bicycle']","['Overtaking', 'Going Ahead']",['Improper Passing'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.'],['Driving Properly'],['Normal'],False,"['55 to 59', '35 to 39']",3.0
1000915630.0,2021-05-17 08:00:00,2350,2021,BAYVIEW AVE,FINCH AVE E,Major Arterial,North York,43.784564,-79.392055,629382.1443,4849200.7308,Non Intersection,No Control,Clear,"Dark, artificial",Dry,52,Bayview Village,52,Bayview Village (52),Non-Fatal Injury,0,0,1,0,0,1,0,0,0,0,0,0,0,Approaching,['Driver'],North,"['Automobile, Station Wagon', 'Municipal Transit Bus (TTC)']",['Going Ahead'],"['Other', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['40 to 44'],3.0
1000928847.0,2021-05-19 08:00:00,1752,2021,8 FRASERWOOD AVE,Not Applicable,Local,North York,43.713919,-79.438205,625816.6168,4841283.4671,Non Intersection,No Control,Clear,Daylight,Dry,32,Englemount-Lawrence,32,Englemount-Lawrence (32),Non-Fatal Injury,1,0,1,0,0,0,0,1,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],['Running onto Roadway'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '50 to 54', '0 to 4', '5 to 9']",3.0
1000934827.0,2021-05-20 08:00:00,1438,2021,KINGSTON RD,DORSET RD,Major Arterial,Scarborough,43.724314,-79.233272,642301.3885,4842769.4725,At Intersection,No Control,Clear,Daylight,Dry,123,Cliffcrest,123,Cliffcrest (123),Fatal,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Wheelchair', 'Driver']",East,['Delivery Van'],"['Making U Turn', 'Going Ahead']",['Driving Properly'],['Normal'],['Crossing without right of way'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['65 to 69', '30 to 34']",4.0
1000936048.0,2021-05-20 08:00:00,1738,2021,MCKEE  AVE,KENNETH AVE,Collector,North York,43.773627,-79.409442,628006.4362,4847958.9811,Intersection Related,Stop Sign,Clear,Daylight,Dry,152,East Willowdale,51,Willowdale East (51),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Going Ahead'],['Improper Passing'],['Inattentive'],['On Sidewalk or Shoulder'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '40 to 44']",3.0
1000937200.0,2021-05-20 08:00:00,2014,2021,BLOOR ST W,JANE ST,Major Arterial,Etobicoke York,43.64926,-79.484439,622223.2438,4834033.0786,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,87,High Park-Swansea,87,High Park-Swansea (87),Non-Fatal Injury,0,0,0,1,0,0,0,0,0,0,0,0,0,SMV Other,['Motorcycle Driver'],East,['Motorcycle'],['Turning Left'],['Lost control'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['50 to 54'],3.0
1000938844.0,2021-05-21 08:00:00,325,2021,DUNDAS ST E,SHERBOURNE ST,Major Arterial,Toronto and East York,43.658202,-79.371028,631349.9329,4835199.488,Non Intersection,No Control,Clear,"Dark, artificial",Dry,73,Moss Park,73,Moss Park (73),Fatal,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Driver']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['55 to 59', '20 to 24']",4.0
1000951822.0,2021-05-22 08:00:00,2200,2021,EASTERN AVE,COXWELL AVE,Minor Arterial,Toronto and East York,43.665419,-79.31618,635756.3092,4836089.3243,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,63,The Beaches,63,The Beaches (63),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Turning Left'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['65 to 69', '10 to 14']",3.0
1000952186.0,2021-05-22 08:00:00,2312,2021,DON MILLS RD,GATEWAY   BLVD,Major Arterial,North York,43.714331,-79.336314,634024.0179,4841488.9332,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,44,Flemingdon Park,44,Flemingdon Park (44),Non-Fatal Injury,1,0,1,0,0,0,0,1,1,1,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Exceeding Speed Limit'],['Had Been Drinking'],['On Sidewalk or Shoulder'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['15 to 19', '20 to 24']",3.0
1000955837.0,2021-05-23 08:00:00,1501,2021,1418 QUEEN ST W,Not Applicable,Major Arterial,Toronto and East York,43.640879,-79.434825,626241.9839,4833176.5277,Non Intersection,No Control,Clear,Daylight,Dry,85,South Parkdale,85,South Parkdale (85),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['25 to 29', '45 to 49']",3.0
1000962145.0,2021-05-24 08:00:00,1415,2021,DUFFERIN  ST,ST CLAIR AVE W,Major Arterial,Toronto and East York,43.67789,-79.443042,625502.0871,4837274.6195,At Intersection,Traffic Signal,Clear,Daylight,Dry,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),Non-Fatal Injury,1,0,1,0,0,0,0,0,1,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Speed too Fast For Condition'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['50 to 54', '15 to 19']",3.0
1000969867.0,2021-05-25 08:00:00,1520,2021,QUEENS PARK CRES E,QUEENS PARK,Major Arterial,Toronto and East York,43.661261,-79.389972,629815.8006,4835509.4152,Non Intersection,No Control,Clear,Daylight,Dry,169,Bay-Cloverhill,76,Bay Street Corridor (76),Non-Fatal Injury,0,0,0,0,0,1,0,1,0,0,0,0,0,Other,"['Driver', 'Passenger']",North,['Municipal Transit Bus (TTC)'],['Going Ahead'],['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['40 to 44', '70 to 74']",3.0
1000977879.0,2021-05-26 08:00:00,1729,2021,818 HUNTINGWOOD DR,Not Applicable,Minor Arterial,Scarborough,43.79373,-79.296428,637055.8289,4850372.6668,At/Near Private Drive,No Control,Clear,Daylight,Dry,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118),Non-Fatal Injury,0,1,0,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,['Cyclist'],West,['Bicycle'],['Going Ahead'],[],[],['Not Applicable'],['Not Applicable'],"['Cyclist loses control and strikes object (pole, ttc track)']",['Lost control'],['Inattentive'],False,['20 to 24'],3.0
1000983324.0,2021-05-27 08:00:00,1315,2021,44 RUSSELL HILL RD,Not Applicable,Collector,Toronto and East York,43.681243,-79.404117,628632.5893,4837706.6498,Non Intersection,No Control,Clear,Daylight,Dry,96,Casa Loma,96,Casa Loma (96),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",East,"['Automobile, Station Wagon', 'Bicycle']","['Turning Right', 'Going Ahead']",['Improper Turn'],['Inattentive'],['Not Applicable'],['Not Applicable'],"['Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.']",['Driving Properly'],['Normal'],False,"['70 to 74', '30 to 34']",3.0
1000988001.0,2021-05-28 08:00:00,527,2021,2043 DUNDAS ST W,Not Applicable,Minor Arterial,Toronto and East York,43.651698,-79.4472,625221.3647,4834359.369,Non Intersection,No Control,Clear,"Dark, artificial",Dry,86,Roncesvalles,86,Roncesvalles (86),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,SMV Unattended Vehicle,"['Driver', 'Other', 'Passenger']",East,"['Passenger Van', 'Automobile, Station Wagon']","['Going Ahead', 'Parked']",['Lost control'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['15 to 19', 'unknown', '20 to 24']",3.0
1000995012.0,2021-05-29 08:00:00,605,2021,CITY VIEW DR,DIXON  RD,Local,Etobicoke York,43.690154,-79.579425,614485.2138,4838439.3804,Non Intersection,No Control,Clear,Daylight,Dry,1,West Humber-Clairville,1,West Humber-Clairville (1),Non-Fatal Injury,0,0,1,0,0,0,0,0,1,1,0,0,0,SMV Other,['Driver'],South,"['Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['30 to 34'],3.0
1000999578.0,2021-05-29 08:00:00,2040,2021,LAKE SHORE  BLVD W,YORK  ST,Major Arterial,Toronto and East York,43.641387,-79.380832,630595.8306,4833316.4881,At Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),Non-Fatal Injury,1,0,0,1,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Motorcycle Driver', 'Pedestrian']",North,['Motorcycle'],['Going Ahead'],['Driving Properly'],['Normal'],['Crossing without right of way'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '25 to 29']",3.0
1001001420.0,2021-05-30 08:00:00,450,2021,SHEPPARD AVE W,WILLIAM R ALLEN RD,Major Arterial,North York,43.750178,-79.463344,623716.7462,4845272.6995,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,155,Downsview,26,Downsview-Roding-CFB (26),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,0,0,0,0,SMV Other,['Driver'],East,"['Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['35 to 39'],3.0
1001003363.0,2021-05-30 08:00:00,1315,2021,BLOOR  ST W,GLENDONWYNNE RD,Major Arterial,Etobicoke York,43.651698,-79.473323,623114.7265,4834320.2813,Non Intersection,No Control,Clear,Daylight,Dry,87,High Park-Swansea,87,High Park-Swansea (87),Non-Fatal Injury,1,0,1,0,0,0,0,1,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['15 to 19', '65 to 69']",3.0
1001004435.0,2021-05-30 08:00:00,1610,2021,LAING ST,QUEEN ST E,Minor Arterial,Toronto and East York,43.663836,-79.327312,634862.3373,4835895.3543,At Intersection,Stop Sign,Clear,Daylight,Dry,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),Non-Fatal Injury,0,0,1,1,0,0,0,1,0,1,0,0,0,Turning Movement,"['Driver', 'Motorcycle Driver', 'Passenger']",East,"['Automobile, Station Wagon', 'Motorcycle']","['Turning Left', 'Going Ahead']","['Failed to Yield Right of Way', 'Driving Properly']","['Inattentive', 'Unknown']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '40 to 44']",3.0
1001013918.0,2021-05-31 08:00:00,2240,2021,DON VALLEY PARKWAY  S,DON MILLS RD,Expressway,North York,43.698252,-79.340442,633727.2191,4839696.4649,Non Intersection,No Control,Clear,"Dark, artificial",Dry,58,Old East York,58,Old East York (58),Fatal,0,0,0,1,0,0,0,1,0,0,0,0,0,SMV Other,"['Motorcycle Passenger', 'Motorcycle Driver']",South,['Motorcycle'],['Changing Lanes'],['Lost control'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['35 to 39', '40 to 44']",4.0
